class_name,tool,budget_min,execution_status,branch_covered,branch_total,branch_coverage_pct,mutation_killed,mutation_total,mutation_score_pct,mutation_technical_exclusion,measurement_timestamp
ANY_INT,EvoSuite,5,PASS,12,12,100.000000,10,11,90.909091,0,2026-07-16T09:24:54.627700+00:00
BF,EvoSuite,5,PASS,10,10,100.000000,13,14,92.857143,0,2026-07-16T09:24:54.627700+00:00
CHECK_DICT_CASE,EvoSuite,5,PASS,24,24,100.000000,13,13,100.000000,0,2026-07-16T09:24:54.627700+00:00
CHECK_IF_LAST_CHAR_IS_A_LETTER,EvoSuite,5,PASS,14,14,100.000000,13,13,100.000000,0,2026-07-16T09:24:54.627700+00:00
CLOSEST_INTEGER,EvoSuite,5,PASS,11,12,91.666667,9,14,64.285714,0,2026-07-16T09:24:54.627700+00:00
COMMON,EvoSuite,5,PASS,8,8,100.000000,8,9,88.888889,0,2026-07-16T09:24:54.627700+00:00
COMPARE_ONE,EvoSuite,5,PASS,16,16,100.000000,10,11,90.909091,0,2026-07-16T09:24:54.627700+00:00
COUNT_NUMS,EvoSuite,5,PASS,14,14,100.000000,14,17,82.352941,0,2026-07-16T09:24:54.627700+00:00
COUNT_UP_TO,EvoSuite,5,PASS,8,8,100.000000,10,10,100.000000,0,2026-07-16T09:24:54.627700+00:00
COUNT_UPPER,EvoSuite,5,PASS,12,12,100.000000,10,10,100.000000,0,2026-07-16T09:24:54.627700+00:00
DOUBLE_THE_DIFFERENCE,EvoSuite,5,PASS,7,8,87.500000,7,8,87.500000,0,2026-07-16T09:24:54.627700+00:00
ENCODE,EvoSuite,5,PASS,26,26,100.000000,14,14,100.000000,0,2026-07-16T09:24:54.627700+00:00
EVEN_ODD_PALINDROME,EvoSuite,5,PASS,12,12,100.000000,4,19,21.052632,0,2026-07-16T09:24:54.627700+00:00
EXCHANGE,EvoSuite,5,PASS,10,10,100.000000,9,10,90.000000,0,2026-07-16T09:24:54.627700+00:00
FACTORIAL,EvoSuite,5,PASS,8,8,100.000000,11,14,78.571429,0,2026-07-16T09:24:54.627700+00:00
FILE_NAME_CHECK,EvoSuite,5,PASS,25,26,96.153846,23,26,88.461538,0,2026-07-16T09:24:54.627700+00:00
FIND_CLOSEST_ELEMENTS,EvoSuite,5,PASS,8,8,100.000000,5,12,41.666667,0,2026-07-16T09:24:54.627700+00:00
FIND_ZERO,EvoSuite,5,PASS,8,8,100.000000,0,0,0.000000,1,2026-07-16T09:24:54.627700+00:00
FIX_SPACES,EvoSuite,5,PASS,16,16,100.000000,24,29,82.758621,0,2026-07-16T09:24:54.627700+00:00
FIZZ_BUZZ,EvoSuite,5,PASS,10,10,100.000000,13,14,92.857143,0,2026-07-16T09:24:54.627700+00:00
GET_CLOSET_VOWEL,EvoSuite,5,PASS,10,10,100.000000,11,13,84.615385,0,2026-07-16T09:24:54.627700+00:00
GET_MAX_TRIPLES,EvoSuite,5,PASS,10,10,100.000000,19,26,73.076923,0,2026-07-16T09:24:54.627700+00:00
GET_ODD_COLLATZ,EvoSuite,5,PASS,8,8,100.000000,12,13,92.307692,0,2026-07-16T09:24:54.627700+00:00
GET_ROW,EvoSuite,5,PASS,6,6,100.000000,9,9,100.000000,0,2026-07-16T09:24:54.627700+00:00
HEX_KEY,EvoSuite,5,PASS,14,14,100.000000,8,8,100.000000,0,2026-07-16T09:24:54.627700+00:00
HISTOGRAM,EvoSuite,5,PASS,12,12,100.000000,17,19,89.473684,0,2026-07-16T09:24:54.627700+00:00
INTERSECTION,EvoSuite,5,PASS,14,14,100.000000,15,18,83.333333,0,2026-07-16T09:24:54.627700+00:00
IS_HAPPY,EvoSuite,5,PASS,10,10,100.000000,16,16,100.000000,0,2026-07-16T09:24:54.627700+00:00
IS_MULTIPLY_PRIME,EvoSuite,5,PASS,18,18,100.000000,0,0,0.000000,1,2026-07-16T09:24:54.627700+00:00
IS_NESTED,EvoSuite,5,PASS,12,12,100.000000,12,13,92.307692,0,2026-07-16T09:24:54.627700+00:00
IS_SORTED,EvoSuite,5,PASS,12,12,100.000000,16,19,84.210526,0,2026-07-16T09:24:54.627700+00:00
LARGEST_PRIME_FACTOR,EvoSuite,5,PASS,12,12,100.000000,16,17,94.117647,0,2026-07-16T09:24:54.627700+00:00
